iter	Passed	Remaining
0	1	1972
1	3	1668
2	4	1571
3	5	1493
4	7	1547
5	9	1506
6	10	1468
7	11	1444
8	12	1423
9	14	1416
10	15	1399
11	16	1385
12	18	1373
13	19	1363
14	20	1355
15	22	1353
16	23	1345
17	24	1339
18	25	1333
19	27	1329
20	28	1323
21	29	1320
22	31	1319
23	32	1323
24	33	1318
25	35	1315
26	36	1310
27	37	1306
28	38	1301
29	40	1298
30	41	1299
31	42	1295
32	44	1295
33	45	1292
34	46	1290
35	48	1291
36	49	1288
37	50	1287
38	52	1284
39	53	1280
40	54	1279
41	56	1281
42	57	1279
43	59	1288
44	60	1288
45	62	1287
46	63	1286
47	64	1286
48	66	1286
49	67	1286
50	69	1286
51	70	1286
52	71	1285
53	73	1286
54	74	1285
55	76	1284
56	77	1287
57	79	1287
58	80	1287
59	82	1286
60	83	1284
61	84	1283
62	86	1283
63	87	1282
64	89	1281
65	90	1278
66	91	1276
67	92	1273
68	94	1271
69	95	1268
70	96	1268
71	98	1266
72	99	1264
73	100	1261
74	102	1259
75	103	1261
76	105	1262
77	106	1264
78	108	1263
79	109	1261
80	110	1259
81	112	1256
82	113	1254
83	114	1252
84	116	1249
85	117	1247
86	118	1246
87	120	1244
88	121	1241
89	122	1239
90	123	1237
91	125	1235
92	126	1233
93	127	1231
94	129	1229
95	130	1227
96	131	1224
97	132	1223
98	134	1222
99	135	1222
100	137	1220
101	138	1218
102	139	1216
103	140	1214
104	142	1212
105	143	1210
106	144	1208
107	146	1206
108	147	1205
109	148	1203
110	150	1202
111	151	1200
112	152	1200
113	154	1199
114	155	1198
115	157	1196
116	158	1195
117	160	1196
118	161	1194
119	163	1197
120	165	1202
121	167	1205
122	169	1206
123	170	1207
124	173	1215
125	175	1220
126	179	1235
127	182	1243
128	184	1244
129	186	1246
130	188	1247
131	189	1249
132	192	1252
133	194	1256
134	196	1260
135	199	1264
136	201	1271
137	204	1274
138	205	1273
139	207	1271
140	208	1269
141	209	1268
142	211	1266
143	212	1263
144	213	1261
145	215	1259
146	216	1256
147	217	1254
148	219	1252
149	220	1249
150	221	1248
151	223	1245
152	224	1243
153	225	1240
154	227	1238
155	228	1236
156	229	1234
157	231	1231
158	232	1229
159	233	1227
160	235	1225
161	236	1222
162	237	1220
163	239	1218
164	240	1216
165	241	1214
166	242	1211
167	244	1209
168	245	1207
169	247	1206
170	248	1204
171	249	1202
172	251	1201
173	252	1199
174	254	1197
175	255	1195
176	256	1194
177	258	1192
178	259	1191
179	261	1189
180	262	1187
181	263	1185
182	265	1185
183	267	1184
184	268	1182
185	269	1180
186	271	1178
187	272	1177
188	273	1175
189	275	1173
190	276	1171
191	278	1170
192	279	1168
193	281	1167
194	282	1165
195	283	1164
196	285	1163
197	286	1161
198	288	1159
199	289	1157
200	290	1155
201	292	1153
202	293	1152
203	294	1150
204	296	1148
205	297	1147
206	298	1145
207	300	1143
208	301	1141
209	303	1139
210	304	1138
211	305	1136
212	307	1134
213	308	1132
214	309	1131
215	311	1130
216	312	1128
217	314	1126
218	315	1124
219	316	1123
220	318	1121
221	319	1119
222	320	1117
223	322	1116
224	323	1114
225	325	1113
226	326	1111
227	327	1109
228	328	1107
229	330	1105
230	331	1103
231	332	1102
232	334	1100
233	335	1098
234	336	1096
235	338	1094
236	339	1093
237	341	1092
238	342	1091
239	344	1089
240	345	1088
241	346	1086
242	348	1084
243	349	1083
244	351	1082
245	352	1080
246	354	1081
247	356	1080
248	358	1080
249	359	1079
250	361	1078
251	363	1077
252	364	1077
253	366	1076
254	376	1100
255	379	1102
256	382	1105
257	383	1104
258	385	1103
259	387	1102
260	389	1101
261	390	1100
262	392	1099
263	393	1097
264	394	1095
265	396	1094
266	398	1093
267	413	1128
268	414	1127
269	416	1125
270	417	1123
271	419	1121
272	420	1119
273	421	1117
274	423	1116
275	424	1114
276	426	1112
277	427	1111
278	429	1109
279	430	1107
280	432	1105
281	433	1103
282	435	1102
283	436	1100
284	437	1098
285	439	1096
286	440	1094
287	442	1093
288	443	1092
289	445	1091
290	447	1090
291	449	1088
292	450	1087
293	452	1087
294	454	1085
295	455	1083
296	457	1082
297	458	1080
298	459	1078
299	461	1076
300	462	1074
301	464	1072
302	465	1070
303	466	1069
304	468	1067
305	469	1065
306	471	1064
307	472	1062
308	474	1060
309	475	1058
310	477	1056
311	478	1055
312	479	1053
313	481	1051
314	482	1049
315	483	1047
316	485	1045
317	486	1043
318	487	1041
319	489	1039
320	490	1037
321	492	1036
322	493	1034
323	494	1032
324	496	1030
325	497	1028
326	498	1026
327	500	1024
328	501	1022
329	502	1020
330	503	1018
331	505	1016
332	506	1014
333	507	1012
334	509	1010
335	510	1008
336	511	1006
337	513	1004
338	514	1003
339	515	1001
340	517	999
341	518	997
342	519	995
343	521	993
344	522	991
345	523	990
346	525	988
347	526	986
348	527	984
349	529	982
350	530	981
351	532	979
352	533	978
353	534	976
354	536	974
355	538	973
356	539	971
357	540	969
358	542	968
359	543	966
360	545	965
361	547	965
362	549	964
363	551	963
364	552	961
365	554	960
366	556	960
367	558	959
368	561	959
369	563	958
370	564	957
371	566	955
372	567	953
373	568	952
374	570	950
375	571	948
376	573	947
377	574	945
378	575	943
379	577	941
380	578	940
381	580	938
382	581	936
383	583	935
384	584	933
385	585	932
386	587	930
387	588	928
388	590	927
389	591	925
390	593	923
391	594	921
392	595	919
393	596	918
394	598	916
395	599	914
396	600	912
397	602	910
398	603	908
399	604	907
400	606	905
401	607	903
402	608	901
403	609	899
404	611	898
405	612	896
406	613	894
407	615	892
408	616	890
409	617	888
410	619	887
411	620	885
412	621	884
413	623	882
414	624	880
415	625	878
416	627	876
417	628	875
418	629	873
419	631	871
420	632	869
421	634	868
422	635	866
423	636	865
424	638	863
425	639	861
426	641	860
427	642	859
428	644	857
429	645	855
430	647	854
431	648	853
432	650	851
433	651	850
434	653	848
435	654	846
436	656	845
437	657	843
438	658	842
439	660	840
440	661	838
441	663	837
442	664	835
443	666	834
444	667	832
445	668	830
446	670	829
447	671	827
448	673	825
449	674	824
450	675	822
451	677	821
452	679	819
453	679	817
454	681	815
455	682	814
456	683	812
457	685	811
458	686	809
459	688	807
460	689	806
461	690	804
462	692	802
463	693	800
464	694	799
465	696	797
466	697	795
467	698	794
468	699	792
469	701	790
470	702	788
471	703	787
472	705	785
473	706	783
474	707	782
475	708	780
476	710	778
477	711	776
478	712	775
479	714	773
480	715	771
481	716	770
482	718	768
483	719	766
484	720	765
485	722	763
486	723	762
487	724	760
488	726	758
489	727	757
490	728	755
491	730	753
492	731	752
